,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,LATracts10,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10
47,3467,1399,0,0,0,1,22.3,0,242.1305901,0.069838647,138.67473069999997,0.03999848,44.91751553,0.01295573,57.32912853,0.016535658999999998,183.7016128,0.052985755,53.22857825,0.015352921,0.0,0.0,0.0,0.0,0.045889433,1.3236099999999999e-05,5.15451012,0.001486735,4.651503055,0.0013416510000000001,2.557708726,0.001828241,15.87456283
48,2099,828,0,0,0,1,30.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1727,646,0,149,0,1,25.8,0,27.41571383,0.015874762,12.76837775,0.007393386,8.072018503999999,0.004674012,1.5781182569999999,0.000913792,10.98780048,0.006362363,12.42791319,0.007196244,0.0,0.0,0.0,0.0,0.0,0.0,3.9999999930000003,0.002316155,0.0,0.0,0.262061708,0.00040566800000000003,2.621882218
52,2732,997,0,26,0,1,11.1,0,0.873772153,0.000319829,0.410710695,0.000150333,0.349508858,0.000127931,0.0,0.0,0.873772153,0.000319829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035300007
53,6025,2200,0,44,0,1,20.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,5391,2085,0,0,0,1,14.5,0,264.3974764,0.049044236,150.85899630000003,0.02798349,68.41019344,0.012689704,48.81917692,0.009055681,248.90037630000003,0.046169612,10.92484189,0.002026496,0.0,0.0,0.0,0.0,1.46869029,0.000272434,3.103568665,0.000575694,2.9442569130000003,0.000546143,0.359624179,0.000172482,13.35600487
55,8767,2671,0,2154,1,1,18.4,0,30.34317736,0.003461067,13.63358826,0.001555103,4.824959559,0.000550355,7.542842509,0.000860368,29.86527841,0.003406556,0.0,0.0,0.477899202,5.4511099999999994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491075671,0.000183855,2.90211225
56,7858,2865,0,129,1,1,20.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,3789,1377,0,10,0,0,14.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,5269,2031,0,0,0,1,23.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
